T	M	E	C	X
 0.10	 1.00	-3.30	 0.00	 0.00
 0.60	 1.00	-3.30	 0.00	 0.00
 1.10	 1.00	-3.30	 0.01	 0.00
 1.60	 1.00	-3.29	 0.02	 0.00
 2.10	 0.99	-3.25	 0.16	 0.01
 2.60	 0.97	-3.16	 0.26	 0.02
 3.10	 0.92	-2.90	 0.49	 0.07
 3.60	 0.86	-2.61	 0.76	 0.16
 4.10	 0.75	-2.19	 0.92	 0.26
 4.60	 0.64	-1.82	 0.84	 0.37
 5.10	 0.56	-1.52	 0.62	 0.35
 5.60	 0.49	-1.32	 0.39	 0.28
 6.10	 0.38	-1.00	 0.29	 0.30
 6.60	 0.33	-0.86	 0.30	 0.32
 7.10	 0.28	-0.74	 0.19	 0.25
 7.60	 0.24	-0.64	 0.16	 0.23
 8.10	 0.23	-0.61	 0.12	 0.23
 8.60	 0.21	-0.55	 0.12	 0.23
 9.10	 0.18	-0.49	 0.07	 0.18
 9.60	 0.20	-0.51	 0.09	 0.20
10.10	 0.17	-0.46	 0.06	 0.17
10.60	 0.17	-0.42	 0.05	 0.14
11.10	 0.16	-0.40	 0.05	 0.13
11.60	 0.13	-0.35	 0.04	 0.12
12.10	 0.14	-0.36	 0.04	 0.10
12.60	 0.12	-0.32	 0.03	 0.10
13.10	 0.11	-0.29	 0.03	 0.11
13.60	 0.10	-0.27	 0.03	 0.10
14.10	 0.11	-0.31	 0.02	 0.09
14.60	 0.11	-0.26	 0.02	 0.09
15.10	 0.09	-0.26	 0.02	 0.08
15.60	 0.09	-0.24	 0.02	 0.08
16.10	 0.08	-0.22	 0.02	 0.07
16.60	 0.08	-0.21	 0.02	 0.09
17.10	 0.08	-0.23	 0.02	 0.09
17.60	 0.07	-0.18	 0.01	 0.08
18.10	 0.06	-0.20	 0.01	 0.08
18.60	 0.07	-0.21	 0.01	 0.06
19.10	 0.07	-0.22	 0.01	 0.08
19.60	 0.06	-0.19	 0.01	 0.07
